"파일","줄","원문","대사"
"src/data/npcTalk.js","592","헤헤. 한 번 더.","헤헤. 한 번 더."
"src/data/npcTalk.js","592","나 이거 제일 좋아해. 다른 애들한텐 비밀이야.","나 이거 제일 좋아해. 다른 애들한텐 비밀이야."
"src/data/npcTalk.js","593","냠.","냠."
"src/data/npcTalk.js","593","고기다! 힘이 솟는다!","고기다! 힘이 솟는다!"
"src/data/npcTalk.js","593","이거 먹고 더 세질게!","이거 먹고 더 세질게!"
"src/data/npcTalk.js","594","재밌네.","재밌네."
"src/data/npcTalk.js","594","내가 이겼다! 한 판 더!","내가 이겼다! 한 판 더!"
"src/data/npcTalk.js","594","아하하! 또 하자 또!","아하하! 또 하자 또!"
"src/data/npcTalk.js","595","힘들어.","힘들어."
"src/data/npcTalk.js","595","이 정도쯤이야!","이 정도쯤이야!"
"src/data/npcTalk.js","595","봤지? 나 불꽃 엄청 커졌어!","봤지? 나 불꽃 엄청 커졌어!"
"src/data/npcTalk.js","596","이렇게?","이렇게?"
"src/data/npcTalk.js","596","오, 된다 된다!","오, 된다 된다!"
"src/data/npcTalk.js","596","이제 나도 이 숨결 쓸 수 있어! 고마워!","이제 나도 이 숨결 쓸 수 있어! 고마워!"
"src/data/npcTalk.js","597","덤벼라!","덤벼라!"
"src/data/npcTalk.js","597","내가 지킨다!","내가 지킨다!"
"src/data/npcTalk.js","597","으랏차!","으랏차!"
"src/data/npcTalk.js","600","(뒤로 숨는다)","(뒤로 숨는다)"
"src/data/npcTalk.js","600","아, 안녕.","아, 안녕."
"src/data/npcTalk.js","600","저, 왔어요?","저, 왔어요?"
"src/data/npcTalk.js","600","(꼬리를 살랑인다)","(꼬리를 살랑인다)"
"src/data/npcTalk.js","600","기다렸어. 많이.","기다렸어. 많이."
"src/data/npcTalk.js","600","오늘은 같이 있어 줄 거지?","오늘은 같이 있어 줄 거지?"
"src/data/npcTalk.js","601","(고개만 끄덕인다)","(고개만 끄덕인다)"
"src/data/npcTalk.js","601","밖은 좀 무서워.","밖은 좀 무서워."
"src/data/npcTalk.js","601","포코 삼촌은 시끄럽지만 착해.","포코 삼촌은 시끄럽지만 착해."
"src/data/npcTalk.js","601","나 너 닮아서 다행이야.","나 너 닮아서 다행이야."
"src/data/npcTalk.js","601","어제 꿈에 다 같이 하늘을 날았어.","어제 꿈에 다 같이 하늘을 날았어."
"src/data/npcTalk.js","602","(움찔)","(움찔)"
"src/data/npcTalk.js","602","따뜻해.","따뜻해."
"src/data/npcTalk.js","602","(눈을 감고 기댄다) 가지 마.","(눈을 감고 기댄다) 가지 마."
"src/data/npcTalk.js","603","고마워.","고마워."
"src/data/npcTalk.js","603","맛있어.","맛있어."
"src/data/npcTalk.js","603","같이 먹으면 더 맛있어.","같이 먹으면 더 맛있어."
"src/data/npcTalk.js","604","이, 이렇게 하는 거야?","이, 이렇게 하는 거야?"
"src/data/npcTalk.js","604","후훗. 재밌다.","후훗. 재밌다."
"src/data/npcTalk.js","604","나 이렇게 웃어 본 거 처음이야.","나 이렇게 웃어 본 거 처음이야."
"src/data/npcTalk.js","605","무, 무리야.","무, 무리야."
"src/data/npcTalk.js","605","조금은 할 수 있을 것 같아.","조금은 할 수 있을 것 같아."
"src/data/npcTalk.js","605","나도 누굴 지킬 수 있을까?","나도 누굴 지킬 수 있을까?"
"src/data/npcTalk.js","606","어려워.","어려워."
"src/data/npcTalk.js","606","천천히 해 볼게.","천천히 해 볼게."
"src/data/npcTalk.js","606","됐다! 나, 해냈어!","됐다! 나, 해냈어!"
"src/data/npcTalk.js","607","에잇!","에잇!"
"src/data/npcTalk.js","607","오, 오지 마!","오, 오지 마!"
"src/data/npcTalk.js","607","나도 할 수 있어!","나도 할 수 있어!"
"src/data/npcTalk.js","610","누구세요~? 헤헤 장난이야.","누구세요~? 헤헤 장난이야."
"src/data/npcTalk.js","610","심심해!","심심해!"
"src/data/npcTalk.js","610","왔다! 놀자 놀자!","왔다! 놀자 놀자!"
"src/data/npcTalk.js","610","오늘은 뭐 하고 놀 거야?","오늘은 뭐 하고 놀 거야?"
"src/data/npcTalk.js","610","우리 집에서 제일 좋은 용 왔다!","우리 집에서 제일 좋은 용 왔다!"
"src/data/npcTalk.js","610","꺄아! 안아 줘!","꺄아! 안아 줘!"
"src/data/npcTalk.js","611","나 아까 나비 쫓아갔다?","나 아까 나비 쫓아갔다?"
"src/data/npcTalk.js","611","그론 아저씨 꼬리 밟았는데 안 혼났어!","그론 아저씨 꼬리 밟았는데 안 혼났어!"
"src/data/npcTalk.js","611","구름 먹어 보고 싶다.","구름 먹어 보고 싶다."
"src/data/npcTalk.js","611","나 크면 온 세상 보물상자 다 열 거야!","나 크면 온 세상 보물상자 다 열 거야!"
"src/data/npcTalk.js","611","너랑 있으면 맨날 신나!","너랑 있으면 맨날 신나!"
"src/data/npcTalk.js","612","꺄르르!","꺄르르!"
"src/data/npcTalk.js","612","거기 거기! 더 긁어 줘!","거기 거기! 더 긁어 줘!"
"src/data/npcTalk.js","612","헤헤헤, 세상에서 제일 좋아!","헤헤헤, 세상에서 제일 좋아!"
"src/data/npcTalk.js","613","와구와구!","와구와구!"
"src/data/npcTalk.js","613","더 없어? 더?","더 없어? 더?"
"src/data/npcTalk.js","613","배 빵빵! 이제 놀자!","배 빵빵! 이제 놀자!"
"src/data/npcTalk.js","614","잡아 봐라~!","잡아 봐라~!"
"src/data/npcTalk.js","614","내가 술래! 도망가!","내가 술래! 도망가!"
"src/data/npcTalk.js","614","오늘이 제일 재밌는 날이야!","오늘이 제일 재밌는 날이야!"
"src/data/npcTalk.js","615","훈련 말고 놀면 안 돼?","훈련 말고 놀면 안 돼?"
"src/data/npcTalk.js","615","이것도 놀이 같네!","이것도 놀이 같네!"
"src/data/npcTalk.js","615","나 봐 봐! 불꽃 빙글빙글!","나 봐 봐! 불꽃 빙글빙글!"
"src/data/npcTalk.js","616","에취! 어? 나왔다!","에취! 어? 나왔다!"
"src/data/npcTalk.js","616","우와 신기해!","우와 신기해!"
"src/data/npcTalk.js","616","이걸로 포코 삼촌 놀래켜야지!","이걸로 포코 삼촌 놀래켜야지!"
"src/data/npcTalk.js","617","받아라~!","받아라~!"
"src/data/npcTalk.js","617","까꿍!","까꿍!"
"src/data/npcTalk.js","617","헤헤, 맞았지?","헤헤, 맞았지?"
"src/data/npcTalk.js","620","안녕하세요.","안녕하세요."
"src/data/npcTalk.js","620","무슨 일이에요?","무슨 일이에요?"
"src/data/npcTalk.js","620","오셨어요. 별일 없으셨죠?","오셨어요. 별일 없으셨죠?"
"src/data/npcTalk.js","620","오늘 날씨가 좋네요.","오늘 날씨가 좋네요."
"src/data/npcTalk.js","620","다녀오셨어요. 걱정했어요.","다녀오셨어요. 걱정했어요."
"src/data/npcTalk.js","620","곁에 있으니 마음이 놓여요.","곁에 있으니 마음이 놓여요."
"src/data/npcTalk.js","621","책을 읽고 있었어요.","책을 읽고 있었어요."
"src/data/npcTalk.js","621","엘더 할아버지께 옛이야기를 들었어요.","엘더 할아버지께 옛이야기를 들었어요."
"src/data/npcTalk.js","621","별을 세다 잠들었어요.","별을 세다 잠들었어요."
"src/data/npcTalk.js","621","저는 이 마을이 좋아요. 지키고 싶어요.","저는 이 마을이 좋아요. 지키고 싶어요."
"src/data/npcTalk.js","621","나중에 제가 촌장이 되면 어떨까요?","나중에 제가 촌장이 되면 어떨까요?"
"src/data/npcTalk.js","622","괜찮아요.","괜찮아요."
"src/data/npcTalk.js","622","기분 좋네요.","기분 좋네요."
"src/data/npcTalk.js","622","(조용히 웃는다) 어린애 같죠, 저.","(조용히 웃는다) 어린애 같죠, 저."
"src/data/npcTalk.js","623","잘 먹겠습니다.","잘 먹겠습니다."
"src/data/npcTalk.js","623","맛있어요.","맛있어요."
"src/data/npcTalk.js","623","다음엔 제가 구해 올게요.","다음엔 제가 구해 올게요."
"src/data/npcTalk.js","624","이런 것도 나쁘지 않네요.","이런 것도 나쁘지 않네요."
"src/data/npcTalk.js","624","후후, 재밌어요.","후후, 재밌어요."
"src/data/npcTalk.js","624","가끔은 이렇게 웃는 것도 좋네요.","가끔은 이렇게 웃는 것도 좋네요."
"src/data/npcTalk.js","625","해 볼게요.","해 볼게요."
"src/data/npcTalk.js","625","호흡이 중요하군요.","호흡이 중요하군요."
"src/data/npcTalk.js","625","이제 요령을 알 것 같아요.","이제 요령을 알 것 같아요."
"src/data/npcTalk.js","626","원리를 알려 주세요.","원리를 알려 주세요."
"src/data/npcTalk.js","626","아, 이런 느낌이군요.","아, 이런 느낌이군요."
"src/data/npcTalk.js","626","익혔어요. 잘 쓸게요.","익혔어요. 잘 쓸게요."
"src/data/npcTalk.js","627","물러가세요.","물러가세요."
"src/data/npcTalk.js","627","침착하게.","침착하게."
"src/data/npcTalk.js","627","지켜야 해요.","지켜야 해요."
"src/data/npcTalk.js","633","왔냐. 멀뚱히 서 있지 말고 몸부터 풀어라.","왔냐. 멀뚱히 서 있지 말고 몸부터 풀어라."
"src/data/npcTalk.js","634","오늘은 눈이 덜 풀린 걸 보니 간밤에 잘 잔 모양이구나.","오늘은 눈이 덜 풀린 걸 보니 간밤에 잘 잔 모양이구나."
"src/data/npcTalk.js","635","발소리가 전보다 가벼워졌다. 살이 빠진 게 아니라 걷는 법이 나아진 거다.","발소리가 전보다 가벼워졌다. 살이 빠진 게 아니라 걷는 법이 나아진 거다."
"src/data/npcTalk.js","636","왔으면 마당부터 좀 쓸어라. 사범도 늙으면 제자한테 이런 것부터 시키게 된다.","왔으면 마당부터 좀 쓸어라. 사범도 늙으면 제자한테 이런 것부터 시키게 된다."
"src/data/npcTalk.js","639","수련은 하루에 하나만 한다. 욕심을 내면 실력보다 몸이 먼저 망가지거든.","수련은 하루에 하나만 한다. 욕심을 내면 실력보다 몸이 먼저 망가지거든."
"src/data/npcTalk.js","639","용은 자면서 크는 법이니까 수련이 끝나면 굴에 가서 푹 자라.","용은 자면서 크는 법이니까 수련이 끝나면 굴에 가서 푹 자라."
"src/data/npcTalk.js","639","기술은 한 번에 셋만 골라 쓸 수 있으니까 상대를 보고 그때그때 바꿔 끼워라.","기술은 한 번에 셋만 골라 쓸 수 있으니까 상대를 보고 그때그때 바꿔 끼워라."
"src/data/npcTalk.js","640","불은 붙어서 쏘고, 얼음은 곧게 쏘고, 번개는 쉬지 말고 쏴라. 이건 백 번을 말해도 모자란다.","불은 붙어서 쏘고, 얼음은 곧게 쏘고, 번개는 쉬지 말고 쏴라. 이건 백 번을 말해도 모자란다."
"src/data/npcTalk.js","640","레벨만 찬다고 몸이 크는 게 아니다. 나를 넘어서야 그날 밤에 큰다.","레벨만 찬다고 몸이 크는 게 아니다. 나를 넘어서야 그날 밤에 큰다."
"src/data/npcTalk.js","641","젊을 때는 형이랑 둘이서 안 가 본 하늘이 없었다. 다 옛날얘기지.","젊을 때는 형이랑 둘이서 안 가 본 하늘이 없었다. 다 옛날얘기지."
"src/data/npcTalk.js","641","큰 놈들은 저마다 버릇이 있다. 바닥에 붉은 선이나 원이 보이면 거기로 뭐가 온다는 뜻이니까, 덤비기 전에 그것부터 봐라.","큰 놈들은 저마다 버릇이 있다. 바닥에 붉은 선이나 원이 보이면 거기로 뭐가 온다는 뜻이니까, 덤비기 전에 그것부터 봐라."
"src/data/npcTalk.js","642","너는 내 마지막 제자다. 그러니까 나보다 먼저 죽을 생각은 하지도 마라.","너는 내 마지막 제자다. 그러니까 나보다 먼저 죽을 생각은 하지도 마라."
"src/data/npcTalk.js","642","언젠가 네가 누굴 가르치게 되면 내가 왜 이렇게 잔소리를 했는지 알게 될 거다.","언젠가 네가 누굴 가르치게 되면 내가 왜 이렇게 잔소리를 했는지 알게 될 거다."
"src/data/npcTalk.js","644","제자 앞에서 체면이 있지!","제자 앞에서 체면이 있지!"
"src/data/npcTalk.js","644","아직 안 죽었다!","아직 안 죽었다!"
"src/data/npcTalk.js","644","이게 용의 싸움이다!","이게 용의 싸움이다!"
"src/data/npcTalk.js","645","크흠… 나이는 못 속이는구나.","크흠… 나이는 못 속이는구나."
"src/data/npcTalk.js","651","(티아맷과 호숫가를 걸었다.)","(티아맷과 호숫가를 걸었다.)"
"src/data/npcTalk.js","651","착각하지 마. 순찰이야. 호수 둘레가 사백 걸음인데 혼자 돌면 뒤를 못 봐. 네가 옆에 있으면 나는 앞만 보면 되고.","착각하지 마. 순찰이야. 호수 둘레가 사백 걸음인데 혼자 돌면 뒤를 못 봐. 네가 옆에 있으면 나는 앞만 보면 되고."
"src/data/npcTalk.js","651","…물에 비친 네 얼굴 좀 웃기더라. 내일도 돌아. 순찰.","…물에 비친 네 얼굴 좀 웃기더라. 내일도 돌아. 순찰."
"src/data/npcTalk.js","652","(둘이서 절벽 끝에 앉아 노을을 봤다.)","(둘이서 절벽 끝에 앉아 노을을 봤다.)"
"src/data/npcTalk.js","652","가족을 잃고 나서 누구 옆에 이렇게 앉은 건 처음이야. 그게 다야. 대답 안 해도 돼.","가족을 잃고 나서 누구 옆에 이렇게 앉은 건 처음이야. 그게 다야. 대답 안 해도 돼."
"src/data/npcTalk.js","652","하나만. 너는 죽지 마. 나 세는 이름 늘리기 싫어.","하나만. 너는 죽지 마. 나 세는 이름 늘리기 싫어."
"src/data/npcTalk.js","653","(밤하늘 아래에서 티아맷이 먼저 말을 꺼냈다.)","(밤하늘 아래에서 티아맷이 먼저 말을 꺼냈다.)"
"src/data/npcTalk.js","653","네가 늦게 돌아오는 날 동쪽을 몇 번 보는지 세 봤어. 열한 번. 열두 번. 어제는 스무 번 넘어서 세는 걸 관뒀어.","네가 늦게 돌아오는 날 동쪽을 몇 번 보는지 세 봤어. 열한 번. 열두 번. 어제는 스무 번 넘어서 세는 걸 관뒀어."
"src/data/npcTalk.js","653","그게 뭔지는 네가 맞혀 봐. 나는 말 안 해. 망루지기는 보고만 해.","그게 뭔지는 네가 맞혀 봐. 나는 말 안 해. 망루지기는 보고만 해."
"src/data/npcTalk.js","656","(포코와 꽃밭에서 하루 종일 뒹굴었다.)","(포코와 꽃밭에서 하루 종일 뒹굴었다.)"
"src/data/npcTalk.js","656","이 꽃 이름은 포코꽃이야! 내가 지었어! 아니 근데 진짜 이름이 뭔지는 몰라, 미라 언니는 알 텐데. 너 하나 줄게. 머리에 꽂아 봐. 꽂아 봐!","이 꽃 이름은 포코꽃이야! 내가 지었어! 아니 근데 진짜 이름이 뭔지는 몰라, 미라 언니는 알 텐데. 너 하나 줄게. 머리에 꽂아 봐. 꽂아 봐!"
"src/data/npcTalk.js","656","…웃기다. 아니 예쁘다는 뜻이야! 진짜! 웃긴 것도 예쁜 거야!","…웃기다. 아니 예쁘다는 뜻이야! 진짜! 웃긴 것도 예쁜 거야!"
"src/data/npcTalk.js","657","(포코가 반딧불이가 가득한 작은 동굴로 데려갔다.)","(포코가 반딧불이가 가득한 작은 동굴로 데려갔다.)"
"src/data/npcTalk.js","657","여긴 아무한테도 안 알려 준 데야. 나팔 소리 너무 무서운 날 혼자 와서 숨는 데거든. 반딧불이가 백 마리? 천 마리? 세다가 맨날 잠들어.","여긴 아무한테도 안 알려 준 데야. 나팔 소리 너무 무서운 날 혼자 와서 숨는 데거든. 반딧불이가 백 마리? 천 마리? 세다가 맨날 잠들어."
"src/data/npcTalk.js","657","이제 혼자 안 와도 되겠다. 너랑 오면 되니까. …너 반딧불이 세는 거 잘해? 나 대신 좀 세 줘.","이제 혼자 안 와도 되겠다. 너랑 오면 되니까. …너 반딧불이 세는 거 잘해? 나 대신 좀 세 줘."
"src/data/npcTalk.js","658","(포코가 평소와 다르게 조용했다.)","(포코가 평소와 다르게 조용했다.)"
"src/data/npcTalk.js","658","나 맨날 웃기만 하는 애 아니야. 네가 어디 가 버릴까 봐 무서워서 더 웃는 거야. 웃으면 안 가잖아. 안 가지? 안 가는 거지?","나 맨날 웃기만 하는 애 아니야. 네가 어디 가 버릴까 봐 무서워서 더 웃는 거야. 웃으면 안 가잖아. 안 가지? 안 가는 거지?"
"src/data/npcTalk.js","658","계속 옆에 있어 줘. 너 없으면 술래잡기도 재미없어. 혼자 술래하면 그건 그냥 뛰는 거야.","계속 옆에 있어 줘. 너 없으면 술래잡기도 재미없어. 혼자 술래하면 그건 그냥 뛰는 거야."
"src/data/npcTalk.js","662","나한테 할 말이 있다고?","나한테 할 말이 있다고?"
"src/data/npcTalk.js","662","…바보야, 그건 내가 먼저 말하려고 했던 건데.","…바보야, 그건 내가 먼저 말하려고 했던 건데."
"src/data/npcTalk.js","662","좋아. 앞으로 네 등은 내가 지킬 테니까 내 등은 평생 네가 지켜 줘.","좋아. 앞으로 네 등은 내가 지킬 테니까 내 등은 평생 네가 지켜 줘."
"src/data/npcTalk.js","663","응? 왜 그렇게 진지한 얼굴을 하고 있어?","응? 왜 그렇게 진지한 얼굴을 하고 있어?"
"src/data/npcTalk.js","663","진짜? 진짜로? 나 지금 꿈꾸는 거 아니지?!","진짜? 진짜로? 나 지금 꿈꾸는 거 아니지?!"
"src/data/npcTalk.js","663","나도 너를 제일 좋아해! 우리 같이 살면서 매일매일 놀자!","나도 너를 제일 좋아해! 우리 같이 살면서 매일매일 놀자!"
"src/data/npcTalk.js","666","우리 아이는 너를 닮았으면 좋겠어. 눈빛 하나만 나를 닮고.","우리 아이는 너를 닮았으면 좋겠어. 눈빛 하나만 나를 닮고."
"src/data/npcTalk.js","666","(티아맷이 둥지에 알을 내려놓았다.)","(티아맷이 둥지에 알을 내려놓았다.)"
"src/data/npcTalk.js","667","아기 용이다, 우리 아기 용! 이름은 뭐라고 짓지? 포코 2세는 어때?!","아기 용이다, 우리 아기 용! 이름은 뭐라고 짓지? 포코 2세는 어때?!"
"src/data/npcTalk.js","667","(포코가 들뜬 얼굴로 둥지에 알을 내려놓았다.)","(포코가 들뜬 얼굴로 둥지에 알을 내려놓았다.)"
"src/data/npcTalk.js","673","어, 왔어? 나 오늘 아침에 허수아비를 서른 번이나 쳤다? 너는 몇 번 쳤어?","어, 왔어? 나 오늘 아침에 허수아비를 서른 번이나 쳤다? 너는 몇 번 쳤어?"
"src/data/npcTalk.js","674","왔네. 오늘은 내가 너보다 먼저 왔으니까 일단 내가 한 판 이긴 거다.","왔네. 오늘은 내가 너보다 먼저 왔으니까 일단 내가 한 판 이긴 거다."
"src/data/npcTalk.js","675","오늘은 같이 할까? 혼자 하는 것보다 옆에 누가 있으면 더 빨리 느는 것 같더라.","오늘은 같이 할까? 혼자 하는 것보다 옆에 누가 있으면 더 빨리 느는 것 같더라."
"src/data/npcTalk.js","676","늦었네, 나는 벌써 두 바퀴나 돌고 왔는데. …는 거짓말이고 나도 방금 왔어.","늦었네, 나는 벌써 두 바퀴나 돌고 왔는데. …는 거짓말이고 나도 방금 왔어."
"src/data/npcTalk.js","679","나는 재능 같은 건 없어서, 남들 잘 때 한 번이라도 더 하는 걸로 버티는 거야.","나는 재능 같은 건 없어서, 남들 잘 때 한 번이라도 더 하는 걸로 버티는 거야."
"src/data/npcTalk.js","679","스승님은 너한테는 이것저것 가르쳐 주시면서 나한테는 자세 지적만 하신다? 진짜 너무하지 않아?","스승님은 너한테는 이것저것 가르쳐 주시면서 나한테는 자세 지적만 하신다? 진짜 너무하지 않아?"
"src/data/npcTalk.js","679","하늘에서 떨어지는 건 어떤 기분이야? 나는 높은 데서 뛰어내리는 건 좋아하는데 떨어지는 건 좀 다를 것 같아서.","하늘에서 떨어지는 건 어떤 기분이야? 나는 높은 데서 뛰어내리는 건 좋아하는데 떨어지는 건 좀 다를 것 같아서."
"src/data/npcTalk.js","680","우리 엄마는 나 아기 때 돌아가셨대. 난 기억도 안 나. 다들 나보고 엄마 닮았다는데, 정신없는 게 닮았대. 그거 칭찬 맞아?","우리 엄마는 나 아기 때 돌아가셨대. 난 기억도 안 나. 다들 나보고 엄마 닮았다는데, 정신없는 게 닮았대. 그거 칭찬 맞아?"
"src/data/npcTalk.js","680","네가 새 기술을 먼저 배우면 나한테도 알려 줘. 나도 뭐 알게 되면 알려 줄 테니까.","네가 새 기술을 먼저 배우면 나한테도 알려 줘. 나도 뭐 알게 되면 알려 줄 테니까."
"src/data/npcTalk.js","680","허수아비는 맞기만 하고 때리지는 않잖아. 그래서 나는 가끔 밖에 나가서 진짜 상대로 연습해.","허수아비는 맞기만 하고 때리지는 않잖아. 그래서 나는 가끔 밖에 나가서 진짜 상대로 연습해."
"src/data/npcTalk.js","681","너 처음 왔을 때는 솔직히 좀 얄미웠어. 아무것도 모르는 애를 다들 챙겨 주기만 하니까.","너 처음 왔을 때는 솔직히 좀 얄미웠어. 아무것도 모르는 애를 다들 챙겨 주기만 하니까."
"src/data/npcTalk.js","681","근데 네가 밤늦게까지 혼자 연습하는 걸 본 뒤로는 생각이 바뀌었어. 너도 그냥 받기만 하는 애는 아니더라.","근데 네가 밤늦게까지 혼자 연습하는 걸 본 뒤로는 생각이 바뀌었어. 너도 그냥 받기만 하는 애는 아니더라."
"src/data/npcTalk.js","681","티아맷 언니한테는 아직 한 번도 못 이겼는데, 언젠가는 너랑 언니를 둘 다 이기는 게 내 목표야.","티아맷 언니한테는 아직 한 번도 못 이겼는데, 언젠가는 너랑 언니를 둘 다 이기는 게 내 목표야."
"src/data/npcTalk.js","682","네가 마을 밖에 나가 있는 날은 수련이 손에 안 잡혀서 자꾸 수련장 문만 보게 돼.","네가 마을 밖에 나가 있는 날은 수련이 손에 안 잡혀서 자꾸 수련장 문만 보게 돼."
"src/data/npcTalk.js","682","나는 네 뒤를 쫓아가는 것 말고, 언젠가 네 옆에 나란히 서 있고 싶어.","나는 네 뒤를 쫓아가는 것 말고, 언젠가 네 옆에 나란히 서 있고 싶어."
"src/data/npcTalk.js","684","나도 있어!","나도 있어!"
"src/data/npcTalk.js","684","이 정도는 내가 막을 수 있어!","이 정도는 내가 막을 수 있어!"
"src/data/npcTalk.js","684","혼자 먼저 가지 마!","혼자 먼저 가지 마!"
"src/data/npcTalk.js","685","미안, 나는 여기까지인가 봐…","미안, 나는 여기까지인가 봐…"
"src/data/npcTalk.js","690","오늘은 네가 먼저 해 봐. 몇 개나 깨는지 내가 봐 줄게.","오늘은 네가 먼저 해 봐. 몇 개나 깨는지 내가 봐 줄게."
"src/data/npcTalk.js","691","방금 자세가 좀 무너졌어. 한 번만 더 해 봐.","방금 자세가 좀 무너졌어. 한 번만 더 해 봐."
"src/data/npcTalk.js","692","오, 방금 건 나보다 나았다. 인정.","오, 방금 건 나보다 나았다. 인정."
"src/data/npcTalk.js","697","(수련이 끝난 저녁, 나라가 허수아비를 정리하며 말을 걸었다.)","(수련이 끝난 저녁, 나라가 허수아비를 정리하며 말을 걸었다.)"
"src/data/npcTalk.js","697","있잖아 오늘 네가 쓴 그 동작, 내가 백 번을 따라 해도 안 되더라, 백 번은 아니고 한 서른 번? 아무튼 안 돼. 가르쳐 줘. 대신 내일 아침에 내가 깨우러 갈게.","있잖아 오늘 네가 쓴 그 동작, 내가 백 번을 따라 해도 안 되더라, 백 번은 아니고 한 서른 번? 아무튼 안 돼. 가르쳐 줘. 대신 내일 아침에 내가 깨우러 갈게."
"src/data/npcTalk.js","697","새벽에. 너 늦잠 자잖아. 다 알아.","새벽에. 너 늦잠 자잖아. 다 알아."
"src/data/npcTalk.js","698","(나라가 수련장 뒤편 언덕으로 데려갔다. 마을이 다 내려다보였다.)","(나라가 수련장 뒤편 언덕으로 데려갔다. 마을이 다 내려다보였다.)"
"src/data/npcTalk.js","698","나 아침마다 여기 와. 내가 뭘 지키려고 이렇게 구르는지 잊어버릴까 봐. 저기가 우리 집, 저기가 대장간, 저기가… 네 굴. 어느새 세는 데 들어가 있네, 네 굴이.","나 아침마다 여기 와. 내가 뭘 지키려고 이렇게 구르는지 잊어버릴까 봐. 저기가 우리 집, 저기가 대장간, 저기가… 네 굴. 어느새 세는 데 들어가 있네, 네 굴이."
"src/data/npcTalk.js","698","…뭘 봐. 내려가자. 배고파.","…뭘 봐. 내려가자. 배고파."
"src/data/npcTalk.js","699","(나라가 한참을 망설이다 입을 열었다.)","(나라가 한참을 망설이다 입을 열었다.)"
"src/data/npcTalk.js","699","나는 맨날 너 따라잡으려고만 했거든, 근데 요즘은 따라잡고 싶은 게 아니라 그냥 옆에 있고 싶고, 이게 진 기분이어야 하는데 하나도 안 그렇고, 그래서 짜증 나고, 아 몰라.","나는 맨날 너 따라잡으려고만 했거든, 근데 요즘은 따라잡고 싶은 게 아니라 그냥 옆에 있고 싶고, 이게 진 기분이어야 하는데 하나도 안 그렇고, 그래서 짜증 나고, 아 몰라."
"src/data/npcTalk.js","699","너 오늘 허수아비 세 개밖에 못 깼지. 나는 네 개.","너 오늘 허수아비 세 개밖에 못 깼지. 나는 네 개."
"src/data/npcTalk.js","702","(수련이 끝난 뒤, 스승이 화톳불 앞에 앉으라 했다.)","(수련이 끝난 뒤, 스승이 화톳불 앞에 앉으라 했다.)"
"src/data/npcTalk.js","702","앉아라. 늙은이 옛날얘기다. 젊을 때는 하늘 끝까지 가 보겠다고 덤볐다. 형이 앞서 날고 내가 뒤를 쫓고. 그때가 제일 좋았지. 형 얘기는 여기까지다.","앉아라. 늙은이 옛날얘기다. 젊을 때는 하늘 끝까지 가 보겠다고 덤볐다. 형이 앞서 날고 내가 뒤를 쫓고. 그때가 제일 좋았지. 형 얘기는 여기까지다."
"src/data/npcTalk.js","702","불 꺼지겠다. 장작 넣어라.","불 꺼지겠다. 장작 넣어라."
"src/data/npcTalk.js","703","(스승이 오래된 비늘 조각을 꺼내 보여 줬다.)","(스승이 오래된 비늘 조각을 꺼내 보여 줬다.)"
"src/data/npcTalk.js","703","옛 제자 거다. 스무 해 전 싸움에서 못 돌아왔다. 그놈을 쓰러뜨린 것도 내 제자였고. 그래서 안 가르쳤다. 겁이 나서.","옛 제자 거다. 스무 해 전 싸움에서 못 돌아왔다. 그놈을 쓰러뜨린 것도 내 제자였고. 그래서 안 가르쳤다. 겁이 나서."
"src/data/npcTalk.js","703","너를 왜 받았느냐. …모르겠다. 물어보지 마라. 두 번 물으면 마당을 쓸게 할 거다.","너를 왜 받았느냐. …모르겠다. 물어보지 마라. 두 번 물으면 마당을 쓸게 할 거다."
"src/data/npcTalk.js","704","(둘이서 아무 말 없이 밤하늘을 보다가, 스승이 먼저 입을 열었다.)","(둘이서 아무 말 없이 밤하늘을 보다가, 스승이 먼저 입을 열었다.)"
"src/data/npcTalk.js","704","네가 온 뒤로 아침이 기다려진다. 스승이 제자한테 할 소리는 아니다. 늙은이 주책이라고 여겨라.","네가 온 뒤로 아침이 기다려진다. 스승이 제자한테 할 소리는 아니다. 늙은이 주책이라고 여겨라."
"src/data/npcTalk.js","704","…여기지 않아도 되고. 자라. 내일 새벽이다.","…여기지 않아도 되고. 자라. 내일 새벽이다."
"src/data/npcTalk.js","707","(그론이 대장간 뒤뜰로 불렀다. 모루에 불이 꺼져 있었다.)","(그론이 대장간 뒤뜰로 불렀다. 모루에 불이 꺼져 있었다.)"
"src/data/npcTalk.js","707","앉아라. 차는 없다. 물.","앉아라. 차는 없다. 물."
"src/data/npcTalk.js","707","(그론은 한동안 아무 말이 없었다. 장사 얘기 말고 다른 얘기를 해 본 지가 몇 해인지 세는 얼굴이었다.)","(그론은 한동안 아무 말이 없었다. 장사 얘기 말고 다른 얘기를 해 본 지가 몇 해인지 세는 얼굴이었다.)"
"src/data/npcTalk.js","708","(그론이 절뚝이는 무릎을 두드리며 말했다.)","(그론이 절뚝이는 무릎을 두드리며 말했다.)"
"src/data/npcTalk.js","708","바실한테 당한 날. 같이 간 놈들 다 죽고 나 혼자 기어 왔다. 그 뒤로 아무도 안 들였다.","바실한테 당한 날. 같이 간 놈들 다 죽고 나 혼자 기어 왔다. 그 뒤로 아무도 안 들였다."
